STATISTIC,Statistic Label,TLIST(A1),Year,C02076V03371,Age Group,C03788V04538,NUTS 3 Region,C02199V02655,Sex,UNIT,VALUE,NUTS_ID
PEA26C01,Persons,2023,2023,-,All ages,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,-,Both sexes,Number,430893,IE041
PEA26C01,Persons,2023,2023,-,All ages,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,1,Male,Number,214219,IE041
PEA26C01,Persons,2023,2023,-,All ages,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,2,Female,Number,216674,IE041
PEA26C01,Persons,2023,2023,-,All ages,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,-,Both sexes,Number,1499179,IE061
PEA26C01,Persons,2023,2023,-,All ages,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,1,Male,Number,735290,IE061
PEA26C01,Persons,2023,2023,-,All ages,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,2,Female,Number,763889,IE061
PEA26C01,Persons,2023,2023,-,All ages,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,-,Both sexes,Number,776202,IE062
PEA26C01,Persons,2023,2023,-,All ages,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,1,Male,Number,385465,IE062
PEA26C01,Persons,2023,2023,-,All ages,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid-East,2,Female,Number,390737,IE062
PEA26C01,Persons,2023,2023,-,All ages,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,-,Both sexes,Number,324626,IE063
PEA26C01,Persons,2023,2023,-,All ages,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,1,Male,Number,161431,IE063
PEA26C01,Persons,2023,2023,-,All ages,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midland,2,Female,Number,163195,IE063
PEA26C01,Persons,2023,2023,-,All ages,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,-,Both sexes,Number,517337,IE051
PEA26C01,Persons,2023,2023,-,All ages,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,1,Male,Number,255856,IE051
PEA26C01,Persons,2023,2023,-,All ages,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid-West,2,Female,Number,261481,IE051
PEA26C01,Persons,2023,2023,-,All ages,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,-,Both sexes,Number,467589,IE052
PEA26C01,Persons,2023,2023,-,All ages,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,1,Male,Number,230710,IE052
PEA26C01,Persons,2023,2023,-,All ages,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South-East,2,Female,Number,236879,IE052
PEA26C01,Persons,2023,2023,-,All ages,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,-,Both sexes,Number,756254,IE053
PEA26C01,Persons,2023,2023,-,All ages,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,1,Male,Number,374046,IE053
PEA26C01,Persons,2023,2023,-,All ages,604546A1-A856-4B9B-AD46-E88B27C27155,South-West,2,Female,Number,382208,IE053
